alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1787669677.4947,elite,3194.8928309263,1786575850.4519,"AS216154 CLODO CLOUD SERVICE CO. L.L.C",CLODO,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"Clodo Cloud Service CO. L.L.C",52.3716,4.8883,false,"Clodo Cloud Service CO. L.L.C",false,"North Holland",success,Europe/Amsterdam,1012,1787178855,1787669738.5833,10808,socks4,132.243.120.54:10808,true,1719.1758155823,18070,26282,40.742243867244,132.243.120.54
true,1787669708.4909,elite,2521.8768472863,1696986761.991,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Tulsa,"North America",NA,"United States",US,,false,"Cox Communications Inc.",36.0496,-95.8858,false,"Cox Communications",true,Oklahoma,success,America/Chicago,74133,1787576179,1787669738.5738,10919,socks4,98.178.72.21:10919,true,1890.2523517609,575699,942712,37.914569902352,98.178.72.21
true,1787449982.8001,elite,764.14309146467,1787334822.7243,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Stockbridge,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.553,-84.2338,false,"NET2ATLANTA.COM LLC",true,Georgia,success,America/New_York,30281,1787332010,1787669738.5714,4145,socks4,199.66.182.232:4145,true,785.27021408081,28757,75,99.73987236404,199.66.182.232
true,1787669659.3894,transparent,5607.4593053907,1787155508.0319,"AS263703 VIGINET C.A","VIGINET C.A",Mérida,"South America",SA,Venezuela,VE,,false,"Viginet C.A",8.5859,-71.1629,false,"Viginet C.A",false,Mérida,success,America/Caracas,5101,1787152681,1787669738.5246,999,http,143.255.87.206:999,false,1538.0721092224,1619,3914,29.260798843304,143.255.87.206
true,1787669643.8381,transparent,4557.0492583456,1787565931.0902,"AS213812 Abdul Rahman Mustafa trading as Alfateh Company for Communications",alfateh,Damascus,Asia,AS,Syria,SY,,false,"Abdul Rahman Mustafa trading as Alfateh Company for Communications",33.5132,36.2768,false,,false,"Damascus Governorate",success,Asia/Damascus,,1787562631,1787669738.4986,8080,http,185.146.138.151:8080,true,1365.5159473419,311,815,27.619893428064,185.146.138.151
true,1787669174.8989,elite,1215.2962431271,1787583430.6367,"AS135722 Teleglobal Communications Pvt Ltd",GLOBAL-AS,Pune,Asia,AS,India,IN,,false,"Teleglobal Communications Pvt Ltd",18.5211,73.8502,false,"Teleglobal International Private Limited",false,Maharashtra,success,Asia/Kolkata,411007,1787582304,1787669738.4896,8080,http,103.149.113.222:8080,true,315.20104408264,1101,305,78.307254623044,103.149.113.222
true,1787667818.1911,elite,1803.0115963821,1783536482.71,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1787164597,1787669738.4459,1088,socks5,185.185.80.58:1088,true,337.99958229065,165081,1274,99.234167893962,185.185.80.58
true,1787669657.4333,elite,2324.0517396027,1785949134.2058,"AS41560 UGMK-Telecom LLC",UT-SVR,Pyshma,Europe,EU,Russia,RU,,false,"UGMK-Telecom network",56.9494,63.2566,false,,false,"Sverdlovsk Oblast",success,Asia/Yekaterinburg,,1787155598,1787669738.4377,1080,socks5,109.200.111.171:1080,true,511.43479347229,44243,20955,67.859443541213,109.200.111.171
true,1787669660.3917,elite,431.04958198754,1781071962.1297,"AS210644 AEZA GROUP LLC",AEZA-AS,Helsinki,Europe,EU,Finland,FI,,true,"Aeza International LTD",60.1719,24.9347,false,"Aeza Group LLC",true,Uusimaa,success,Europe/Helsinki,00221,1787119665,1787669738.4356,1080,socks5,193.233.139.106:1080,true,172.26219177246,157033,21676,87.870784347739,193.233.139.106
true,1787669708.5303,elite,829.09518209042,1776082204.7704,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1787569761,1787669738.4279,4145,socks4,184.170.245.148:4145,true,793.65658760071,233204,263088,46.989272444448,184.170.245.148
true,1787667362.3929,elite,1195.2517109344,1786252124.6469,"AS210644 AEZA GROUP LLC",AEZA-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Aeza International LTD",50.1169,8.6837,false,"Aeza International LTD",false,Hesse,success,Europe/Berlin,60313,1787458425,1787669738.4115,1080,socks5,45.144.54.40:1080,true,328.54175567627,62549,3456,94.764033027801,45.144.54.40
true,1787661639.2709,transparent,380.49209977271,1779118415.5948,"AS214743 Cogento Backbone Limited",COGENTO-AS,"Tsim Sha Tsui",Asia,AS,"Hong Kong",HK,,false,"Cogento Backbone Limited",22.3015,114.176,false,"Cogento Backbone Limited",true,"Kowloon City",success,Asia/Hong_Kong,96521,1787583664,1787669738.369,39811,http,176.111.37.5:39811,true,357.20109939575,126777,6804,94.906461248231,176.111.37.5
true,1787668655.4728,anonymous,1242.2860515532,1754902129.2269,"AS45899 VNPT Corp",VNPT-AS-VN,"Ho Chi Minh City",Asia,AS,Vietnam,VN,,false,VNPT,10.822,106.6257,false,"Vietnam Posts and Telecommunications Group",false,"Ho Chi Minh",success,Asia/Ho_Chi_Minh,700000,1787431999,1787669738.1768,80,http,14.161.10.46:80,false,761.70969009399,4716,516,90.137614678899,14.161.10.46
true,1787669738.1313,transparent,5722.2560520858,1785162107.7981,"AS270026 RED SERVITEL, CA","RED SERVITEL, CA","El Valle","South America",SA,Venezuela,VE,,false,"RED SERVITEL, CA",10.4652,-66.9007,false,"RED SERVITEL, CA",true,"Distrito Federal",success,America/Caracas,3001,1787579385,1787669738.1313,999,http,38.172.170.92:999,true,545.39513587952,5898,17616,25.082929318704,38.172.170.92
true,1787669738.1294,elite,583.76163379188,1784727780.009,"AS12695 LLC Digital Network",DINET-AS,Moscow,Europe,EU,Russia,RU,,false,"LLC Digital Network",55.7558,37.6173,false,"Dinet Netts Fttb",true,Moscow,success,Asia/Krasnoyarsk,144700,1787234368,1787669738.1294,1080,socks5,89.208.232.117:1080,true,497.8928565979,9815,16314,37.563626621761,89.208.232.117
true,1787669719.7662,elite,3297.714455517,1783234085.219,"AS38794 UIH",UIH-BBB-AS-AP,"Mueang Samut Prakan",Asia,AS,Thailand,TH,,false,"United Information Highway Co., Ltd.",13.5989,100.5997,true,"United Information Highway Co., Ltd",true,"Samut Prakan",success,Asia/Bangkok,10270,1787464782,1787669738.025,4153,socks4,119.63.95.3:4153,true,1122.2596168518,82389,110380,42.73975587361,119.63.95.3
true,1787669737.9315,elite,1160.997174752,1776079082.6716,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1787572589,1787669737.9315,4145,socks5,192.111.139.162:4145,true,1001.5428066254,80106,60105,57.132464642574,192.111.139.162
true,1787642028.2836,transparent,726.92976199654,1786794659.9347,"AS52468 UFINET PANAMA S.A.","UFINET PANAMA S.A.","María la Baja","South America",SA,Colombia,CO,,false,"Ufinet Panama S.A.",9.9832,-75.3016,false,UFINET,false,"Departamento de Bolívar",success,America/Bogota,,1787396710,1787669737.8833,999,http,181.78.74.252:999,true,511.40284538269,13499,1303,91.197135522227,181.78.74.252
true,1787669709.694,elite,847.12695548944,1787031260.9397,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Singapore,Asia,AS,Singapore,SG,"Pasir Ris",true,"Oracle Corporation",1.36945,103.969,false,"Oracle Corporation",false,"South East",success,Asia/Singapore,,1787636071,1787669737.8544,40001,socks4,152.69.211.50:40001,true,807.17182159424,15947,14865,51.755809424899,152.69.211.50
true,1787453828.4571,elite,1447.554882441,1776082450.8739,"AS6181 Cincinnati Bell Telephone Company LLC",FUSE-NET,Cincinnati,"North America",NA,"United States",US,,false,"Cincinnati Bell Telephone Company LLC",39.1443,-84.5482,false,"Fuse Internet Access",true,Ohio,success,America/New_York,45225,1787569522,1787669737.8165,4145,socks4,216.68.128.121:4145,true,1536.7650985718,859744,1927,99.776364761028,216.68.128.121
true,1787668067.1826,elite,1730.0644838557,1787615381.5948,"AS51765 Oy Creanova Hosting Solutions Ltd.",CREANOVA-AS,"Los Angeles","North America",NA,"United States",US,,true,"Oy Crea Nova Hosting Solution Ltd",34.0544,-118.244,false,"Beafort Limited",false,California,success,America/Los_Angeles,90009,1787614358,1787669737.7553,1080,socks4,85.209.156.148:1080,true,2424.5700836182,4422,111,97.551290536069,85.209.156.148
true,1787669667.107,elite,8773.4037560655,1787600110.1571,"AS9009 M247 Europe SRL",M247,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Secure Internet LLC",50.1109,8.68213,false,"Internet Security - AU",true,Hesse,success,Europe/Berlin,60313,1787599371,1787669737.6203,38273,socks5,45.74.31.42:38273,true,2784.5661640167,526,1038,33.631713554987,45.74.31.42
true,1787651107.9441,elite,764.0975902198,1784844971.3799,"AS20081 NET2ATLANTA.COM LLC",NET2ATLANTA,Stockbridge,"North America",NA,"United States",US,,false,"NET2ATLANTA.COM LLC",33.553,-84.2338,false,"NET2ATLANTA.COM LLC",true,Georgia,success,America/New_York,30281,1787262618,1787669737.6118,4145,socks4,199.66.183.251:4145,true,799.88121986389,224782,101,99.955087756745,199.66.183.251
true,1787669645.9805,elite,1748.9095817165,1787414517.9987,"AS9808 China Mobile Communications Group Co., Ltd.",CHINAMOBILE-CN,Guangzhou,Asia,AS,China,CN,,false,"China Mobile communications corporation",23.1317,113.266,true,"China Mobile",false,Guangdong,success,Asia/Shanghai,510000,1787412980,1787669737.4972,8443,socks4,112.28.149.154:8443,true,1043.5864925385,15660,3557,81.490347088515,112.28.149.154
true,1787669645.7819,elite,2121.281641393,1780205990.2535,"AS57529 JSC GTNT",GTNT-AS,Moscow,Europe,EU,Russia,RU,,false,"ZAO GTNT",55.7569,37.6151,false,"JSC GTNT",true,Moscow,success,Asia/Krasnoyarsk,144700,1787652734,1787669737.4923,1080,socks5,195.19.51.21:1080,true,590.76499938965,7690,51953,12.8933822913,195.19.51.21
true,1787669737.4773,elite,2407.1164704044,1776079568.274,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1787571569,1787669737.4773,4145,socks5,184.181.217.194:4145,true,1083.7309360504,133662,47157,73.920329168948,184.181.217.194
true,1787669466.0401,elite,6652.8199153297,1778937293.1576,"AS396982 Google LLC",GOOGLE-CLOUD-PLATFORM,Tokyo,Asia,AS,Japan,JP,,true,"Google LLC",35.6761,139.6503,false,"Google Cloud (asia-northeast1)",true,Tokyo,success,Asia/Tokyo,,1787400850,1787669737.3683,38081,socks5,34.84.162.206:38081,true,2985.9220981598,139413,43678,76.14410320551,34.84.162.206
true,1787549697.3353,elite,613.05369586896,1779115843.4194,"AS4621 UNINET-TH",UNINET-AS-AP,"Chiang Mai",Asia,AS,Thailand,TH,,false,"Office of Info.Tech. Admin. for Educational Development",18.9129,98.9413,false,"Office of Info.Tech. Admin. Educational Development",true,"Chiang Mai",success,Asia/Bangkok,50180,1787582138,1787669737.2351,31280,http,202.28.194.139:31280,true,554.23426628113,147884,440,99.703352121032,202.28.194.139
true,1787669617.3109,elite,399.90890656005,1786503531.2948,"AS132420 E2E NETWORKS",E2E-NETWORKS-IN,Noida,Asia,AS,India,IN,Bakhtāwarpur,true,"E2E Networks Limited",28.5341,77.3538,false,"E2E Networks Limited",false,"Uttar Pradesh",success,Asia/Kolkata,201307,1787105871,1787669737.0499,8080,http,164.52.216.51:8080,false,365.72003364563,3521,8394,29.550986151909,164.52.216.51
true,1787669699.2068,elite,2543.9644701498,1696986733.4953,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1787215553,1787669737.0293,15291,socks4,184.178.172.25:15291,true,1910.4471206665,773352,891591,46.449157718913,184.178.172.25
true,1787661610.0088,elite,1764.8279399685,1776079653.542,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1787569557,1787669736.9793,4145,socks4,184.182.240.211:4145,true,965.64078330994,862571,1081,99.874833845114,184.182.240.211
true,1787663159.7027,transparent,226.27117358097,1787663159.7027,"AS14618 Amazon.com, Inc.",AMAZON-AES,Ashburn,"North America",NA,"United States",US,,true,"Amazon.com, Inc.",39.0438,-77.4874,false,"AWS EC2 (us-east-1)",false,Virginia,success,America/New_York,20149,1787660460,1787669736.9699,3128,http,54.87.99.188:3128,true,201.99418067932,147,0,100,54.87.99.188
true,1787669736.9575,elite,892.23724040686,1776081193.9257,"AS46562 Performive LLC",PERFORMIVE,"Santa Monica","North America",NA,"United States",US,"Wilshire Montana",false,"Total Server Solutions L.L.C.",34.0259,-118.49,false,"Nami Media, Inc",true,California,success,America/Los_Angeles,90403,1787569590,1787669736.9575,4145,socks4,68.71.252.38:4145,true,819.42915916443,251939,258946,49.31422922967,68.71.252.38
true,1787669672.5641,elite,3180.7269870728,1786502667.0971,"AS20473 The Constant Company, LLC",AS-VULTR,Piscataway,"North America",NA,"United States",US,,true,"The Constant Company",40.4993,-74.399,false,"Vultr Holdings, LLC",false,"New Jersey",success,America/New_York,08854,1787106187,1787669736.956,1085,socks5,45.76.164.255:1085,true,509.07611846924,54829,4280,92.759139894094,45.76.164.255
true,1787669562.7733,elite,3252.3033583559,1787632147.0706,"AS4837 CHINA UNICOM China169 Backbone",CHINA169-Backbone,Zhengzhou,Asia,AS,China,CN,,false,"CNC Group CHINA169 Henan Province Network",34.7472,113.625,false,,false,Henan,success,Asia/Shanghai,450000,1787631047,1787669736.9302,7777,socks5,123.7.42.50:7777,true,3156.5189361572,1146,291,79.749478079332,123.7.42.50
true,1787669736.8825,elite,2594.4471629394,1776079412.3624,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Lafayette,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.209,-92.0607,false,"Cox Communications Inc.",true,Louisiana,success,America/Chicago,70506,1787571059,1787669736.8825,4145,socks5,174.64.199.82:4145,true,2055.7775497437,105702,57103,64.925524400356,174.64.199.82
true,1787658881.2056,elite,773.18978662827,1710541373.1267,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,"North America",NA,"United States",US,,true,"Alibaba.com LLC",37.4316,-78.6569,false,ALICLOUD-US,true,Virginia,success,America/New_York,22902,1787648405,1787669736.7957,3128,http,47.89.184.18:3128,true,515.5656337738,805436,163779,83.101891737127,47.89.184.18
true,1787591700.4781,elite,204.63157885216,1730006221.6434,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,"North Bergen","North America",NA,"United States",US,,true,"DigitalOcean, LLC",40.7964,-74.0203,false,"DigitalOcean, LLC",true,"New Jersey",success,America/New_York,07047,1787102316,1787669736.7826,3128,http,142.93.202.130:3128,false,171.08511924744,558758,239826,69.968594412109,142.93.202.130
true,1787669736.7587,elite,2739.6971623139,1783302418.1005,"AS61372 AZIMUT TELECOM Ltd.",AZIMUTTELECOM-AS,Moscow,Europe,EU,Russia,RU,,false,"AZIMUT TELECOM Ltd.",55.7487,37.6187,false,"AZIMUT TELECOM Ltd",true,Moscow,success,Europe/Moscow,101000,1787535470,1787669736.7587,1080,socks4,31.148.13.96:1080,true,357.93948173523,59169,114633,34.043912037836,31.148.13.96
true,1787669688.2163,elite,2666.3335004663,1783737117.1672,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Amsterdam,Europe,EU,"The Netherlands",NL,,false,"Global Connectivity Solutions LLP",52.3676,4.90414,false,"Global Connectivity Solutions LLP",true,"North Holland",success,Europe/Amsterdam,1012,1787364089,1787669736.7571,1082,socks4,139.28.240.202:1082,true,1068.3722496033,100843,76530,56.853636122747,139.28.240.202
true,1787669736.7263,elite,2078.7026375876,1781047435.3185,"AS200758 Datagear LLP",ORG-DL626-RIPE,Madrid,Europe,EU,Spain,ES,,false,"Datagear LLP",40.4153,-3.694,false,"Datagear LLP",true,Madrid,success,Europe/Madrid,28071,1787441248,1787669736.7263,1080,socks5,45.192.9.27:1080,true,200.70123672485,33860,23131,59.412889754523,45.192.9.27
true,1787669736.6719,elite,2133.612222674,1787517388.0987,"AS24940 Hetzner Online GmbH",HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",50.4777,12.3649,false,Hetzner,false,Saxony,success,Europe/Berlin,08223,1787517388,1787669736.6719,10811,socks5,49.13.22.249:10811,true,988.55352401733,3783,943,80.046550994499,49.13.22.249
true,1787669645.3401,elite,3498.666240764,1783504101.6527,"AS214996 netcup GmbH",netcup,Manassas,"North America",NA,"United States",US,,true,"netcup GmbH",38.7493,-77.4918,false,"Netcup KVM MNZ ARM",true,Virginia,success,America/New_York,20110,1787132677,1787669736.6446,1080,socks5,152.53.194.105:1080,true,569.2446231842,13561,51764,20.759280520475,152.53.194.105
true,1787669725.2126,elite,3955.6488555585,1787301860.6996,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Seoul,Asia,AS,"South Korea",KR,,true,"Aceville Pte.ltd",37.5658,126.978,false,,false,Seoul,success,Asia/Seoul,04524,1787299475,1787669736.5401,8443,socks5,150.109.247.86:8443,true,1549.2491722107,3932,5294,42.618686321266,150.109.247.86
true,1787669674.7486,elite,4916.8792272695,1787594411.289,"AS26801 Zito Media, L.P.",ZITOMEDIA611,"Two Harbors","North America",NA,"United States",US,,false,"Zito Media, L.P.",47.0227,-91.6707,false,"zito media",false,Minnesota,success,America/Chicago,55616,1787591958,1787669736.5283,1080,socks5,64.188.150.151:1080,true,4029.0594100952,2163,504,81.102362204724,64.188.150.151
true,1787639058.7703,elite,1559.9973086121,1784701752.5536,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Bangkok,Asia,AS,Thailand,TH,,true,"Shenzhen Tencent Computer Systems Company Limited",13.7551,100.5057,false,"Tencent Cloud Computing (Beijing) Co., Ltd",true,Bangkok,success,Asia/Bangkok,10200,1787118050,1787669736.5189,1080,socks5,43.164.3.124:1080,true,1162.6555919647,148033,1486,99.006146376046,43.164.3.124
true,1787669639.9199,elite,538.51643382089,1786395299.7827,"AS215590 DpkgSoft International Limited",XORA-AS,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"DpkgSoft International Limited",50.1109,8.68213,false,"Xorek.Cloud Frankfurt",true,Hesse,success,Europe/Berlin,60313,1787602857,1787669736.4898,1080,socks5,31.76.15.189:1080,true,3074.6915340424,34713,13471,72.042586750789,31.76.15.189
true,1787669736.4712,elite,2546.0192113938,1776081741.5898,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Mesa,"North America",NA,"United States",US,,false,"Cox Communications Inc.",33.3429,-111.6347,false,"Cox Communications Inc",true,Arizona,success,America/Phoenix,85212,1787570741,1787669736.4712,4145,socks5,98.191.0.47:4145,true,2105.5343151093,113698,54518,67.590478908071,98.191.0.47
true,1787669522.9952,elite,2186.0250177997,1786028655.7773,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1787237136,1787669736.4679,1085,socks5,194.163.174.78:1085,true,248.51107597351,27782,18934,59.46998886891,194.163.174.78
true,1787669736.33,elite,5178.3142078733,1786197034.4756,"AS20473 The Constant Company, LLC",AS-VULTR,"Los Angeles","North America",NA,"United States",US,,true,"The Constant Company",34.0609,-118.2414,false,"Vultr Holdings, LLC",false,California,success,America/Los_Angeles,90012,1787404225,1787669736.33,8080,socks5,149.248.21.106:8080,true,4220.1948165894,28986,21978,56.875441488109,149.248.21.106
true,1787669381.4251,elite,5767.3677948634,1787629333.6059,"AS31898 Oracle Corporation",ORACLE-BMC-31898,Phoenix,"North America",NA,"United States",US,,true,"Oracle Corporation",33.4656,-111.9956,false,"Oracle Cloud Infrastructure (us-phoenix-1)",false,Arizona,success,America/Phoenix,85008,1787628509,1787669736.2271,1080,socks4,129.146.166.25:1080,true,788.37513923645,2844,335,89.462094998427,129.146.166.25
true,1787669726.569,elite,3267.6159568522,1787550163.939,"AS23969 TOT Public Company Limited",TOT-NET,"Tha Tum",Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",15.3195,103.675,false,"TOT Public Company Limited",false,Surin,success,Asia/Bangkok,,1787549664,1787669736.1969,4153,socks4,118.174.219.159:4153,true,911.1180305481,2784,3483,44.423168980373,118.174.219.159
