url,metadata_reference
https://kqid7e1vkh3d0r88k3d.vercel.app/nsvw35re4hbarefsdbvzxcv,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://kqid7e1vkh3d0r88k3d.vercel.app/nsvw35re4hbarefsdbvzxcv.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.welcome-trezor-bridge.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://iamivanaalawicash.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.iamivanaalawicash.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://lnk.ink/AQDO7,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.com.mu/users/3640563947/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.robiox.com.py/users/439445376533/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://security-server-page--jhalskov68.replit.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://ledgerr-livv.pages.dev/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.robiox.com.py/users/335606894118/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://mitameskk_8clogunn.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.mitameskk_8clogunn.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://secure-meta.official-program.online/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://mtoken.online/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://rbcode.net/v/4054707db8fc4cac4b825fc5473690f7,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://blog-whatsappx.hl.cn/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.gebyarshopee228.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.mobilelegendsindonesia.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://trezarsuiteapp.wasmer.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://account.docusign.us.ci/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://imdoge.top/about,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.viewflix.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.netflix-registro.com/captcha,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.id71841.info/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.com.bi/games/8832438757/PVP-Sword-Fighting?privateServerLinkCode=12705384620754238429951024266760&game_id=8832438757&game_name=PVP-Sword-Fighting,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.com.bi/games/5656638348/Sword-Fighting-Tycoon?privateServerLinkCode=12705384620754238429951024266760&game_id=5656638348&game_name=Sword-Fighting-Tycoon,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://facebook-profile-login.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://wedfgbnmoijhgcxvbnm-dpyjx01bl5o7.edgeone.dev/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://gimenilowgoin.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.gimenilowgoin.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://xmagnetics.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.trezoriostarts.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://ticketsreferanci.com/d-h-l/pages/track.php?token=SPTBFA2EF1A0941,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://escrtsattiungch99.site/success-login/sw1ssap5r3s/a63t2s1x5a2c1a3.php?ID-connect?q=df&ehome&j-oin-us.x=3a4d9f20d358213f47e6b215a1dde7023a4d9f20d358213f47e6b215a1dde702,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://nkla-efg7egfpcwgcara7.z03.azurefd.net/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://gebyarshopee228.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://sarthforge.github.io/amazon-clone,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://vblb97k-h07k.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://content-page-index-resource.40961071.workers.dev/privacy-information-center/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://q86365.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://iwuaawdjdwja.com/login.php,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://ww547.hcoinbase.com/?tkn=19vnMT3S,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://connect-wallet.xyz/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://verifiedbadge-signal-two.vercel.app/privacy-centers.html,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://facebooklogin01.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://vue-drainer.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.vue-drainer.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://s4w.in/roblox-com-games-2753915549-Blox-FruitsprivateServerLinkCode=15587938948810815525436529481888,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://g5.lu/nyrku,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.com.gr/users/639942632914/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://tiny.cc/jxda101,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://u.to/BSKsIg,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://pvhm48v-h07v.vercel.app/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.ly/users/2345540720/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://malimasak.net/Giris/Elektronik-Imza,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://ai-app.icu/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://wareumtauschens805.ink/kM2Nsa,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://vmi3558430.contaboserver.net/fix/rena/msg.php,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://wareumtauschens803.ink/Yp5vLQ,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://oli841.github.io/Ledger/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://shopee912.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://roblox.com.ml/users/251368943744/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.globalbersama.com/m/login/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://roblox.com.am/users/312366013156/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://web-index.info/general-public,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.com.am/users/258958418528/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.aphold_log5.godaddysites.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://fr-spotify.com/746294023/recaptcha-verify.php,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.selector1._domainkey.135nb.top/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www._domainkey.135nb.top/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://www.onfo.finance/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.roblox.ly/users/8368085739/profile,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
http://minimonsterrrrr.github.io/projet2.github.io,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.facebooklogin239.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://www.facebookloginid.blogspot.com/,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
https://abhishekyadav-006.github.io/amazon-clone,https://raw.githubusercontent.com/openphish/public_feed/refs/heads/main/feed.txt
